Year,Coal-ME,Petroleum-ME,Natural-Gas-ME,Nuclear-ME,Hydroelectric-ME,Wind-ME,Solar-ME,Coal-MA,Petroleum-MA,Natural-Gas-MA,Nuclear-MA,Hydroelectric-MA,Wind-MA,Solar-MA,Coal-NH,Petroleum-NH,Natural-Gas-NH,Nuclear-NH,Hydroelectric-NH,Wind-NH,Solar-NH,Coal-NJ,Petroleum-NJ,Natural-Gas-NJ,Nuclear-NJ,Hydroelectric-NJ,Wind-NJ,Solar-NJ,Coal-NY,Petroleum-NY,Natural-Gas-NY,Nuclear-NY,Hydroelectric-NY,Wind-NY,Solar-NY,Coal-PA,Petroleum-PA,Natural-Gas-PA,Nuclear-PA,Hydroelectric-PA,Wind-PA,Solar-PA,Coal-IL,Petroleum-IL,Natural-Gas-IL,Nuclear-IL,Hydroelectric-IL,Wind-IL,Solar-IL,Coal-IN,Petroleum-IN,Natural-Gas-IN,Nuclear-IN,Hydroelectric-IN,Wind-IN,Solar-IN,Coal-MI,Petroleum-MI,Natural-Gas-MI,Nuclear-MI,Hydroelectric-MI,Wind-MI,Solar-MI,Coal-WI,Petroleum-WI,Natural-Gas-WI,Nuclear-WI,Hydroelectric-WI,Wind-WI,Solar-WI,Coal-MN,Petroleum-MN,Natural-Gas-MN,Nuclear-MN,Hydroelectric-MN,Wind-MN,Solar-MN,Coal-MO,Petroleum-MO,Natural-Gas-MO,Nuclear-MO,Hydroelectric-MO,Wind-MO,Solar-MO,Coal-DE,Petroleum-DE,Natural-Gas-DE,Nuclear-DE,Hydroelectric-DE,Wind-DE,Solar-DE,Coal-FL,Petroleum-FL,Natural-Gas-FL,Nuclear-FL,Hydroelectric-FL,Wind-FL,Solar-FL,Coal-GA,Petroleum-GA,Natural-Gas-GA,Nuclear-GA,Hydroelectric-GA,Wind-GA,Solar-GA,Coal-MD,Petroleum-MD,Natural-Gas-MD,Nuclear-MD,Hydroelectric-MD,Wind-MD,Solar-MD,Coal-VA,Petroleum-VA,Natural-Gas-VA,Nuclear-VA,Hydroelectric-VA,Wind-VA,Solar-VA,Coal-WV,Petroleum-WV,Natural-Gas-WV,Nuclear-WV,Hydroelectric-WV,Wind-WV,Solar-WV,Coal-TX,Petroleum-TX,Natural-Gas-TX,Nuclear-TX,Hydroelectric-TX,Wind-TX,Solar-TX,Coal-AZ,Petroleum-AZ,Natural-Gas-AZ,Nuclear-AZ,Hydroelectric-AZ,Wind-AZ,Solar-AZ,Coal-CO,Petroleum-CO,Natural-Gas-CO,Nuclear-CO,Hydroelectric-CO,Wind-CO,Solar-CO,Coal-CA,Petroleum-CA,Natural-Gas-CA,Nuclear-CA,Hydroelectric-CA,Wind-CA,Solar-CA,Coal-WA,Petroleum-WA,Natural-Gas-WA,Nuclear-WA,Hydroelectric-WA,Wind-WA,Solar-WA
2019,83.28294,31.82845,1609.32605,,3114.93108,2408.04663,88.2842,0,124.07921,15930.8457,2177.204,1079.43168,223.46317,3331.00369,343.01544,29.80268,3582.51635,10906.923,1232.81259,408.91958,129.8284,1041.5285,82.11904,40589.38424,26637.324,26.468,22.32304,3418.91156,421.95139,491.61352,49315.29821,44865.018,29540.5067,4849.86965,2504.87287,38775.54842,178.3273,98400.58724,83229.652,4039.74565,3548.79289,575.3624,48842.08793,40.40828,18916.29428,98735.488,130.66276,13831.02811,252.8166,60782.41545,125.02765,32217.71061,,194.48987,6205.66646,464.15305,37362.67789,98.48762,34639.57512,32909.275,1290.50094,5813.1278,271.1274,26348.94969,46.54271,21136.97903,10030.305,1992.70442,1649.21371,151.40539,18206.28647,46.55028,10372.30576,14104.547,886.72885,11040.43986,1613.6737,55686.32349,79.40862,7331.60403,9189.863,763.57081,2871.61165,399.19012,119.1201,42.19461,4679.32775,,,5.27,176.32722,21264.91686,310.58508,181519.4113,29108.066,219.80482,1.422,4595.18393,25272.53884,129.11938,58383.62356,33591.181,3484.67646,,2376.18057,5721.57334,78.44836,14839.4762,15012.922,2204.93473,576.79893,1477.59998,3462.08484,302.21345,58499.13032,29497.516,1551.14335,,979.83032,58192.22202,128.3858,2104.88959,,1776.36447,1736.53002,12.36686,91822.28682,51.05788,254618.2421,41298.007,998.16263,84429.12684,5321.40198,23217.97445,63.87954,46094.62231,31920.368,6095.51745,557.03004,7682.27082,25320.30919,10.70404,17087.65849,,1606.92933,10925.94715,1841.93909,240.45587,52.10547,85535.09629,16165.384,40051.23293,14970.4533,43800.76962,7170.10162,19.66595,13716.25142,8866.499,66181.16023,7723.74458,251.9217
2018,70.82781,189.10704,2330.71691,,3261.054,2384.295,67.5105,0,460.71637,18385.82124,4441.563,1133.62047,220.98216,3061.62126,660.30727,178.0801,2991.53943,10061.696,1354.988,406.659,107.97225,1193.28794,302.10818,38863.49171,31982.106,35.538,22.596,2902.65516,690.38563,1590.71019,50810.42631,42919.011,29630,3998.33299,1794.19745,44086.28425,559.2133,76390.85858,83476.744,4261.757,3566.917,478.87842,59641.9239,53.11078,17240.91879,98101.527,146.528,11898.98376,161.44392,77455.22874,130.61654,26816.99487,,222.661,5437.153,388.95137,42330.86358,117.45618,30986.89159,30478.694,1569.199,5457.252,197.35429,33322.37949,36.08083,16798.65559,10129.122,2392.00955,1637.658,114.52944,23455.35648,46.57365,8555.29366,14601.329,1053.50437,10713.65,1122.74925,63355.13517,99.75467,7050.05538,10655.279,828.392,2834.677,323.71556,273.38813,200.82391,5400.15488,,,5.207,159.50382,30272.20083,571.84385,171872.2145,29312.349,232.574,,2841.46637,32180.55494,279.3491,51972.10992,34362.676,3696.868,,2265.4793,10066.92366,260.01509,13849.67272,14987.931,2830.886,569.984,1245.54708,9266.27552,950.41104,50160.30086,29251.668,1764.86,,845.37373,62038.83544,158.88497,1420.39044,,1847.643,1769.984,9.54303,111722.6428,61.17493,239713.0839,41185.739,1126.378,75700.43368,3921.31139,30744.62287,49.94592,37168.07527,31097.259,6982.242,530.19,7405.58712,26382.06016,11.88243,16398.43941,,1825.385,9745.15,1652.53998,281.32814,68.87836,89804.70327,18213.519,26330.66656,14023.9508,39903.82715,5382.86613,23.65646,10535.0778,9708.441,80883.37683,7900.094,151.25903
2017,67.93538,132.39144,2237.06807,,3388.777,2332.853,46.34116,1136.31798,265.50728,22152.55816,5047.17,1037.49145,232.62246,2304.2098,287.28107,104.89563,3580.10302,9990.704,1413.40155,411.592,87.0893,1216.09111,80.42733,37707.84769,34032.698,13.633,22.447,2586.49378,770.29615,597.89332,47271.75602,42167.409,30144.93243,4135.951,1364.37928,47634.27101,255.97524,72503.44753,83199.832,3123.31561,3590.565,427.02185,57980.2863,51.14593,15016.20963,97191.142,125.131,12267.76615,110.51454,72384.95664,125.32308,17975.9169,,306.08,5089.39,312.68882,42020.54769,109.60378,26130.65807,32381.192,1678.957,5191.273,128.6792,35852.22239,33.13435,13655.68513,9648.979,2657.22632,1640.687,76.99422,22781.8977,35.15202,6707.59241,13904.351,1257.70239,11137.272,654.72574,67518.94313,60.71975,5205.28502,8304.127,1181.58,2032.318,260.55357,358.7971,25.41301,6723.18839,,,4.965,142.63587,37512.76195,511.96251,161104.5884,29146.219,218.299,,1169.05498,32487.05788,142.43766,52722.49977,33708.805,2409.749,,2212.47835,8514.00866,102.15655,6729.03898,15106.988,1965.459,561.349,1002.01546,10726.42243,456.1254,44506.88545,30553.734,1116.35452,,378.94297,68349.00948,119.7795,1526.72774,,1658.492,1682.341,7.89907,134648.3579,74.16,204511.9957,38581.401,1061.997,67060.99652,2665.46457,31396.13826,56.72919,29590.69862,32340.138,6831.891,569.934,6834.51746,29242.21643,7.24864,12532.24249,,1897.228,9314.66295,1485.13282,291.09216,45.7962,88350.1583,17901.079,42363.14118,12822.94833,34958.1664,5489.50378,23.11654,10849.26853,8128.259,82182.85498,6925.15525,116.40221
2016,69.8231,109.92381,3498.33952,,2999.68765,1667.103,29.33418,1874.93165,422.28141,21143.93601,5414.318,712.51602,216.12315,1862.78093,422.01704,38.79835,4744.43602,10761.163,1145.38603,432.324,51.50588,1314.54106,80.7492,43807.45314,29885.187,9.478,20.841,2220.06293,1770.23786,642.95242,56793.33613,41570.99,26888.234,3940.18,1013.03993,54672.03023,273.39081,68048.64607,82924.011,2374.519,3476.246,361.32001,59337.80188,69.50297,17484.69119,98607.038,132.834,10663.434,85.76092,72533.0802,113.46843,19995.65949,,426.265,4899.474,242.94408,40526.87245,120.16746,29295.15386,31551.71,1564.355,4695.783,64.13293,33362.84056,26.99226,15472.75935,10151.394,2795.25771,1515.261,37.2949,23206.28901,32.02741,8928.07595,13860.816,1208.50162,9933.487,47.0142,60321.88991,78.01586,6031.56828,9430.179,1268.473,1121.883,199.79259,479.34983,62.57136,7787.4685,,,5.321,118.51245,39429.46789,771.81745,158495.4448,29320.022,174.551,,428.87126,37890.47405,114.47536,52862.4643,34480.662,3372.677,,1075.62208,13826.21331,160.54988,5423.04637,14760.177,1392.187,527.114,727.89179,16499.41236,535.41984,40904.84316,29731.895,1471.462,,62.03887,71512.96099,122.66876,1224.56666,,1638.247,1432.154,5.66117,121230.9324,81.94073,225976.2603,42079.445,1342.005,57530.784,1122.21066,30403.3921,51.59465,34182.80797,32377.477,7167.763,541.582,5369.24594,29948.67505,6.97451,12679.43938,,1902.571,9421.204,999.12099,318.87581,91.78607,97073.66393,18907.578,28942.12149,13509.03869,27036.92953,4601.72629,22.018,10982.19547,9625.622,78345.809,8041.847,90.05786
2015,91.90126,548.26292,2951.9061,,3360.52716,1295.708,19.01122,2252.66433,777.07515,21007.41091,4994.806,827.18447,214.66614,1313.54552,936.66215,175.56387,6051.69479,9484.204,1270.22163,423.496,23.73642,1759.09567,303.77201,36974.45637,33261.76,9.541,21.539,2062.43932,2380.06553,1892.2926,56923.41546,44602.871,26014.52,3976.98,689.04271,64637.23273,571.34049,59454.65453,80516.752,2603.704,3352.672,325.24548,73773.70553,56.09304,10863.8826,97282.139,124.45984,10747.27,76.16558,78230.68752,158.88128,16262.98659,,381.236,4515.147,168.13953,52884.03272,108.62038,20044.79757,29333.786,1499.223,4796.898,38.81913,37180.54678,26.79925,13398.77526,10008.183,2340.68061,1589.381,28.82629,24697.09791,27.93929,7389.43846,12038.606,849.05377,9778.84533,28.37685,65325.52069,98.84197,4596.41342,10440.082,1595.02,1033.076,162.08099,598.58802,154.13387,6689.26668,,,5.126,127.84735,42904.00876,581.96919,155824.1518,28121.916,244.294,,379.96688,37130.62986,147.3455,50469.26568,33838.462,2983.563,,229.49083,13925.60403,232.34773,4555.34484,14643.325,1623.19,434.595,457.40175,17231.42569,1107.83489,33284.21599,28060.358,1158.428,,29.69086,68056.09293,140.21417,1303.63,,1385.043,1376.232,4.47981,121554.2838,107.79583,237731.4273,39354.677,956.41,44833.365,624.24161,36167.16893,48.11804,33657.10227,32525.595,6535.722,452.035,4826.68608,31540.89469,7.26453,11643.74988,,1620.161,7475.279,642.59417,297.87406,84.5149,116139.6087,18505.385,13808.4981,12229.55852,20828.65824,5051.91487,21.67079,13045.92707,8160.912,73404.91624,7075.385,56.25857
2014,79.10392,305.13201,4344.38136,,3623.2485,1097.329,13.32955,2794.889,1004.83368,18497.71468,5769.154,902.07707,224.97105,931.48384,1310.99873,287.44984,4388.29144,10168.265,1381.362,411.581,14.30576,2519.10621,466.92698,31410.34137,31507.121,17.296,22.855,1887.59755,4592.05411,2136.48351,54379.75895,43038.624,26086.90224,3968.40715,420.77484,78985.62857,641.18607,53021.23522,78714.659,2641.157,3564.73,314.12603,87282.39038,86.75605,5465.42505,97857.9,132.298,10082.894,71.13145,97548.73852,163.60754,9572.34644,,371.153,3496.04169,111.42425,52899.84418,140.32334,12522.83699,31245.848,1600.022,3868.11767,34.70052,37449.26435,51.77974,8053.5026,9447.096,2471.77302,1618.001,24.59286,27956.67922,62.53648,3869.63257,12707.166,548.48818,9691.01911,21.48683,72409.21214,106.65532,4044.29438,9276.356,697.336,1131.105,121.74568,865.38424,183.28162,6297.45839,,,5.051,120.98356,52053.68913,527.38041,140034.0696,27868.27,211.388,,360.65809,45295.11332,179.50759,40960.79792,32570.182,3064.347,,218.38894,17603.2909,463.45562,2505.8903,14343.334,1615.523,323.61234,350.89943,20818.58432,1204.90696,20881.56562,30220.977,955.18792,,21.83522,77514.64512,162.77992,653.30169,,1241.974,1451.383,3.64191,148173.7264,102.09294,204721.1547,39287.443,385.89825,40005.1235,446.03437,42665.01057,56.86215,27241.87867,32320.917,6118.261,468.115,4242.82241,32544.84889,9.93204,11953.80826,,1769.80092,7368.614,606.36246,804.75957,47.44516,120426.4355,16985.978,16531.34016,12992.49758,14605.89538,6719.92825,23.54073,11058.81533,9497.321,79463.14433,7267.79384,36.53173
2013,62.75177,239.12758,4873.38816,,3560.45481,1047.67018,,3959.22927,390.31129,21256.88712,4330.643,991.50405,204.89756,,1463.53125,104.51211,4100.17201,10926.725,1427.19842,389.184,,2021.61838,107.01664,27076.53027,33379.688,18.274,10.877,,4697.10474,1007.37331,54354.38661,44755.606,24973.28928,3539.498,,88443.20896,302.20229,49937.70229,78714.031,2524.67302,3352.043,,87927.13948,72.4325,6827.68587,97131.436,120.295,9625.229,,92671.94198,139.0183,9032.23633,,386.928,3481.093,,56291.45283,129.96549,12341.39193,28920.823,1419.049,2799.624,,40645.18093,28.9313,8102.49108,11675.194,1978.87206,1557.924,,23517.79822,27.16727,6301.05316,10707.717,511.11206,8258.75075,,76104.81767,65.47536,4399.6277,8367.103,1136.427,1166.862,,1544.72051,22.91204,5931.28786,,,4.458,,46342.55471,497.69548,138966.3685,26525.855,254.214,,,40232.86626,67.52461,40329.84735,32902.781,3713.59019,,,15538.46904,189.55321,2887.58922,14264.305,1727.02,321.67,,21160.50127,313.28807,22651.16698,29326.231,1253.66952,,,72284.35845,149.83066,269.63938,,1738.776,1386.516,,149404.2433,92.23629,203798.4156,38314.996,480.042,35873.62094,,43492.37581,42.96477,29684.63129,31431.08,5914.658,449.764,,33703.43682,10.19234,10708.8045,,1212.872,7203.72019,,823.17096,48.02088,119522.8593,17911.943,23754.59948,12822.06043,,6740.42498,24.36254,11424.31045,8460.89,78155.087,7004.365,
2012,45.25774,107.86145,6043.69533,,3732.60432,886.91783,,2136.92208,150.39752,24672.38073,5859.54,912.48205,89.6734,,1267.71713,21.64986,7049.70371,8189.181,1247.27,208.699,,1897.4749,30.36745,28284.90449,33110.224,10.755,11.568,,4551.03908,580.2844,59462.2563,40774.56,24652.49121,2991.57717,,87148.20543,248.19752,53062.19893,75174.408,2241.92,2128.658,,80826.77766,71.38202,11188.97494,96401.309,111.208,7726.80864,,92461.19168,114.42114,14470.9051,,433.505,3210.104,,53136.43197,138.38593,21748.35783,28019.714,1206.826,1131.688,,32758.43505,38.78166,11542.00678,14299.595,1530.26301,1557.578,,22722.77442,29.59348,7088.20476,11943.79,561.02154,8176.217,,72775.00849,77.76298,6167.16427,10718.329,714.269,1244.778,,1422.70252,21.6242,6814.72723,,,3.638,,44286.39088,720.26009,149699.6414,17869.935,150.511,,,40715.0493,73.38958,42538.60093,33941.634,2236.3,,,16184.7729,137.30493,4944.89467,13579.266,1656.539,321.687,,14180.79527,363.96754,25037.7491,28723.39,1043.774,,,70267.42856,143.44836,242.89421,,1431.44,1286.024,,138088.2233,91.44817,213901.2818,38441.017,584.47442,32214.17265,,40115.6647,41.91192,30295.01049,31933.916,6716.934,531.6399,,34521.02013,11.04519,10524.44499,,1497.209,5968.64327,,1375.08324,134.05836,119668.3286,18507.408,26837.37041,9754.22967,,3762.95693,26.71274,5437.5925,9333.709,89464.355,6599.76576,
