Date,Value,Anomaly\
1985,54.8,-0.4\
1986,54.6,-0.6\
1987,54.7,-0.5\
1988,53.7,-1.5\
1989,53.5,-1.7\
1990,56.6,1.4\
1991,56.5,1.3\
1992,53.5,-1.7\
1993,54.2,-1.0\
1994,54.4,-0.8\
1995,54.4,-0.8\
1996,53.2,-2.0\
1997,54,-1.2\
1998,57,1.8\
1999,55.7,0.5\
2000,54.1,-1.1\
2001,55.3,0.1\
2002,56.3,1.1\
2003,53.9,-1.3\
2004,55.2,0.0\
2005,55.2,0.0\
2006,56.5,1.3\
2007,55.7,0.5\
2008,55.3,0.1\
2009,54.6,-0.6\
2010,55.8,0.6\
2011,56.5,1.3\
2012,57.5,2.3\
2013,54.7,-0.5\
2014,53.6,-1.6\
2015,55.4,0.2\
2016,56.5,1.3\
2017,56.7,1.5\
2018,55.9,0.7\
2019,56.6,1.4}
2020,,